PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 1;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);
336.;PGEO;  30.00 %;  30.00 %;
337.;SOSS;  85.00 %;  85.00 %;
338.;SWAT; 100.00 %; 100.00 %;
339.;MEJA; 100.00 %;    .00 %;
340.;KPAL-W;  50.00 %;  50.00 %;
341.;PPRE;  30.00 %;  30.00 %;
342.;ROTI;  15.00 %;  15.00 %;
343.;SCMA;  25.00 %;  25.00 %;
344.;UNIT; 100.00 %; 100.00 %;
345.;PRIM-W; 100.00 %; 100.00 %;
346.;ADRO;  30.00 %;  30.00 %;
347.;ITMG;  25.00 %;  25.00 %;
348.;XMIG;  50.00 %;  50.00 %;
349.;ASMI; 100.00 %; 100.00 %;
350.;FIMP; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 8;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


351.;KREN; 100.00 %; 100.00 %;
352.;LFLO; 100.00 %; 100.00 %;
353.;TDPM; 100.00 %; 100.00 %;
354.;WEGE; 100.00 %; 100.00 %;
355.;HOPE-W;  90.00 %;    .00 %;
356.;CASH; 100.00 %; 100.00 %;
357.;MLBI;  20.00 %;  20.00 %;
358.;SRIL; 100.00 %; 100.00 %;
359.;LABA-W;  90.00 %;  90.00 %;
360.;KRAH; 100.00 %; 100.00 %;
361.;NUSA; 100.00 %; 100.00 %;
362.;PPGL; 100.00 %; 100.00 %;
363.;SOFA; 100.00 %; 100.00 %;
364.;IBFN; 100.00 %; 100.00 %;
365.;IPAC; 100.00 %; 100.00 %;
366.;CITY-W; 100.00 %; 100.00 %;
367.;SOSS-W;  50.00 %;  50.00 %;
368.;URBN-W;  50.00 %;  50.00 %;
369.;SOTS-W;  50.00 %;  50.00 %;
370.;IKAI-R;  50.00 %;  50.00 %;
371.;GOLL; 100.00 %; 100.00 %;
372.;HDTX; 100.00 %; 100.00 %;
373.;JPRS;  50.00 %;  50.00 %;
374.;DEAL-W;  50.00 %;  50.00 %;
375.;PLAS; 100.00 %; 100.00 %;
376.;INTA; 100.00 %; 100.00 %;
377.;POSA; 100.00 %; 100.00 %;
378.;TOWR;  15.00 %;  15.00 %;
379.;PLAN; 100.00 %; 100.00 %;
380.;BEBS; 100.00 %; 100.00 %;
381.;KING; 100.00 %; 100.00 %;
382.;BIKE;  25.00 %;  25.00 %;
383.;FMII; 100.00 %; 100.00 %;
384.;IPPE; 100.00 %; 100.00 %;
385.;WSBP; 100.00 %; 100.00 %;
386.;MTSM; 100.00 %; 100.00 %;
387.;BAPI; 100.00 %; 100.00 %;
388.;BLTA; 100.00 %; 100.00 %;
389.;BTEK; 100.00 %; 100.00 %;
390.;CTBN; 100.00 %; 100.00 %;
391.;CTTH; 100.00 %; 100.00 %;
392.;DADA; 100.00 %; 100.00 %;
393.;ELTY; 100.00 %; 100.00 %;
394.;ESSA;  40.00 %;  40.00 %;
395.;GAMA; 100.00 %; 100.00 %;
396.;HADE; 100.00 %; 100.00 %;
397.;HOTL; 100.00 %; 100.00 %;
398.;IKAI; 100.00 %; 100.00 %;
399.;IMJS;  85.00 %;  85.00 %;
400.;IMPC;  15.00 %;  15.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 9;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


401.;JGLE; 100.00 %; 100.00 %;
402.;VIVA; 100.00 %; 100.00 %;
403.;XIIT;  50.00 %;  50.00 %;
404.;XISI;  50.00 %;  50.00 %;
405.;GPRA;  25.00 %;  25.00 %;
406.;JSKY; 100.00 %; 100.00 %;
407.;LMAS; 100.00 %; 100.00 %;
408.;PURE; 100.00 %; 100.00 %;
409.;LAPD; 100.00 %; 100.00 %;
410.;LCGP; 100.00 %; 100.00 %;
411.;NIPS; 100.00 %; 100.00 %;
412.;SUGI; 100.00 %; 100.00 %;
413.;TRIL; 100.00 %; 100.00 %;
414.;XCID;  85.00 %;  85.00 %;
415.;IPTV-W; 100.00 %; 100.00 %;
416.;ARTI; 100.00 %; 100.00 %;
417.;ASRI;  30.00 %;  30.00 %;
418.;BIRD;  30.00 %;  30.00 %;
419.;GIAA; 100.00 %; 100.00 %;
420.;JAWA; 100.00 %; 100.00 %;
421.;HRUM;  40.00 %;  40.00 %;
422.;DSNG;  20.00 %;  20.00 %;
423.;EMTK;  30.00 %;  30.00 %;
424.;RONY; 100.00 %; 100.00 %;
425.;WGSH; 100.00 %; 100.00 %;
426.;DEFI; 100.00 %; 100.00 %;
427.;KIAS; 100.00 %; 100.00 %;
428.;MAGP; 100.00 %; 100.00 %;
429.;MDIA; 100.00 %; 100.00 %;
430.;MIRA; 100.00 %; 100.00 %;
431.;MKNT; 100.00 %; 100.00 %;
432.;OLIV; 100.00 %; 100.00 %;
433.;PADI; 100.00 %; 100.00 %;
434.;PNSE; 100.00 %; 100.00 %;
435.;ROCK; 100.00 %; 100.00 %;
436.;SBAT; 100.00 %; 100.00 %;
437.;TAMU; 100.00 %; 100.00 %;
438.;TARA; 100.00 %; 100.00 %;
439.;TFCO; 100.00 %; 100.00 %;
440.;TOPS; 100.00 %; 100.00 %;
441.;TURI; 100.00 %; 100.00 %;
442.;CHEM-W;  50.00 %;  50.00 %;
443.;EURO; 100.00 %; 100.00 %;
444.;KLIN; 100.00 %; 100.00 %;
445.;RCCC; 100.00 %; 100.00 %;
446.;DEAL; 100.00 %; 100.00 %;
447.;ISAP; 100.00 %; 100.00 %;
448.;LAND; 100.00 %; 100.00 %;
449.;NINE; 100.00 %; 100.00 %;
450.;BOSS; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 10;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


451.;RBMS; 100.00 %; 100.00 %;
452.;SMDR;  35.00 %;  35.00 %;
453.;WINR; 100.00 %; 100.00 %;
454.;ZINC; 100.00 %; 100.00 %;
455.;INAF; 100.00 %; 100.00 %;
456.;ACES;  20.00 %;  20.00 %;
457.;ALTO; 100.00 %; 100.00 %;
458.;BMBL; 100.00 %; 100.00 %;
459.;MYOR;  15.00 %;  15.00 %;
460.;ARKA; 100.00 %; 100.00 %;
461.;BAUT; 100.00 %; 100.00 %;
462.;BEKS; 100.00 %; 100.00 %;
463.;BSML;  65.00 %;  65.00 %;
464.;CBMF; 100.00 %; 100.00 %;
465.;DIGI; 100.00 %; 100.00 %;
466.;FASW; 100.00 %; 100.00 %;
467.;HKMU; 100.00 %; 100.00 %;
468.;CHIP; 100.00 %; 100.00 %;
469.;KBAG; 100.00 %; 100.00 %;
470.;KOTA; 100.00 %; 100.00 %;
471.;LMSH; 100.00 %; 100.00 %;
472.;NASA; 100.00 %; 100.00 %;
473.;PPRO; 100.00 %; 100.00 %;
474.;SOUL; 100.00 %; 100.00 %;
475.;PURA; 100.00 %; 100.00 %;
476.;REAL; 100.00 %; 100.00 %;
477.;AMRT;  25.00 %;  25.00 %;
478.;TAMA; 100.00 %; 100.00 %;
479.;TIFA; 100.00 %; 100.00 %;
480.;WINS;  35.00 %;  35.00 %;
481.;WOWS; 100.00 %; 100.00 %;
482.;STAA;  15.00 %;  15.00 %;
483.;TECH; 100.00 %; 100.00 %;
484.;TRUE; 100.00 %; 100.00 %;
485.;ZATA; 100.00 %; 100.00 %;
486.;NAYZ; 100.00 %; 100.00 %;
487.;META; 100.00 %; 100.00 %;
488.;BSSR;  30.00 %;  30.00 %;
489.;IPCC;  30.00 %;  30.00 %;
490.;PACK; 100.00 %; 100.00 %;
491.;SMSM;  15.00 %;  15.00 %;
492.;TUGU;  30.00 %;  30.00 %;
493.;BELI;  10.00 %;  10.00 %;
494.;BGTG;  65.00 %;  65.00 %;
495.;BIPP; 100.00 %; 100.00 %;
496.;ENZO; 100.00 %; 100.00 %;
497.;HOPE; 100.00 %; 100.00 %;
498.;HRTA;  30.00 %;  30.00 %;
499.;JKON;  30.00 %;  30.00 %;
500.;GZCO;  50.00 %;  50.00 %;

